,RecipeId,Name,CookTime,PrepTime,TotalTime,Description,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
0,526924,LEMON CAKE RECIPE,PT10M,PT15M,PT25M,Wonderful lemon cake recipe is always favorite for all. Know the procedure of making this world famous recipe in your own kitchen.,Dessert,"c(""Very Low Carbs"", ""Low Protein"", ""< 30 Mins"")","c(NA, ""1"", NA, NA, NA, NA, NA, NA)","c(""all-purpose flour"", ""egg"", ""soda water"", ""butter"", ""powdered sugar"", ""lemon juice"", ""caster sugar"", ""powdered sugar"", ""lemon"")",17.9,1.2,0.4,46.5,17.8,0.1,0.0,0.1,1.6,4.0,,"c(""Mix baking powder with flour."", ""Melt butter, mix with eggs, add sugar, beat repeatedly until the mixture becomes fluffy."", ""Mix flour mixture and again beat to get a smooth batter, you can use milk if required."", ""Grease a cake tray and pour the batter."", ""Keep in microwave oven for 200 degree C for 10 minutes."", ""Let it bake, mix caster sugar with lemon juice and keep aside."", ""After baking, let the cake cool, prick all over with a frock."", ""Pour the juice on it, keep in oven for 2 minutes."", 
""Keep it cool by putting in fridge."", ""Decorate with lemon rings."")"
1,377433,Ambrosia,,PT5M,PT5M,"Yes, there are many ambrosia recipes out there... I'm only posting mine here for safe keeping &amp; for when I'm asked for the recipe after bringing it to a party/gathering... Don't get me wrong, it's very tasty &amp; I'll mostly only prefer the taste of mine, so if you try it, I hope you enjoy it :-)",Dessert,"c(""Low Protein"", ""Summer"", ""Brunch"", ""< 15 Mins"", ""No Cook"", ""Easy"")","c(""6"", ""6"", ""8"", ""20"", ""15"", ""16"", ""8"", ""1"", ""2"", ""3/4"")","c(""maraschino cherries"", ""mandarin oranges"", ""pineapple chunks"", ""crushed pineapple"", ""sour cream"", ""Cool Whip"", ""instant vanilla pudding"", ""mini marshmallows"", ""flaked coconut"")",342.8,15.4,10.5,24.9,199.1,52.2,1.9,47.7,2.1,,,"c(""I drain & quarter cherries first.  Then drain & squeeze the crushed pineapple.  Then I drain & add the remaining canned ingredients and stir in the pudding mix, sour cream & cool whip.  I add the marshmallows last and stir them in gently."", ""Chill then serve."")"
2,253559,Butterscotch Chewies Cookies (Gift Mix in a Jar),PT45M,PT10M,PT55M,Gift jar directions at bottom of the recipe - add onto a recipe card and attach to the gift! Or skip the gift making and indulge yourself with this treat!! NOTE: This recipe is to be prepared one QUART size wide mouth canning jar and will yield 4 dozen cookies.,Dessert,"c(""Cookie & Brownie"", ""Christmas"", ""< 60 Mins"", ""For Large Groups"")","c(""2"", ""1"", ""1/2"", ""1/2"", ""1"", ""1"", ""1 1/4"", ""2/3"", ""2"", ""1"")","c(""flour"", ""cinnamon"", ""salt"", ""baking soda"", ""baking powder"", ""light brown sugar"", ""butter flavor shortening"", ""eggs"", ""vanilla extract"")",177.5,8.8,3.7,17.6,107.3,23.0,0.3,14.8,1.8,24.0,48 cookies,"c(""Creating the Gift in a Jar:"", ""Wash and thoroughly dry a 1-quart wide-mouth canning jar."", ""Layer the ingredients in the jar as listed above starting with the flour, cinnamon, salt, baking soda, baking powder, light brown sugar and then butterscotch chips - make sure to press firmly with a flat bottomed object after each addition; make the layers as level as possible."", ""Secure the lid and decorate as desired; attach the instructions for making these cookies found below."", ""BUTTERSCOTCH CHEWIES COOKIES GIFT TAG:"", 
""Additional ingredients to be added by the recipient: 2/3 cup solid butter-flavored shortening (such as Butter Flavor Crisco), 2 eggs and 1 tsp vanilla extract."", ""COOKIE INSTRUCTIONS:"", ""Preheat oven to 400."", ""In a large bowl, blend the shortening, eggs and vanilla extract."", ""Add the contents of the jar, and stir until well mixed."", ""Drop the dough by heaping teaspoonfuls onto an ungreased baking sheet, spacing the cookies about 2 inches apart."", ""Bake for 7-9 minutes, or until the edges are light brown in color."", 
""Allow to cool for 2 minutes on the baking sheet, then transfer to wire racks and cool completely."", ""Serve immediately or store in an airtight container for up to 1 week."")"
3,426944,"Grilled Figs With Yogurt, Cheese and Honey",,PT15M,PT15M,"Make and share this Grilled Figs With Yogurt, Cheese and Honey recipe from Food.com.",Dessert,"c(""< 15 Mins"", ""Easy"")","c(""1 1/2"", ""4"", ""2"", ""1/4"", ""2"", ""2"")","c(""yogurt"", ""fresh figs"", ""light olive oil"", ""honey"", ""extra virgin olive oil"", ""toasted hazelnuts"")",276.8,16.6,3.8,11.9,43.9,31.3,1.5,29.8,3.6,4.0,,"c(""Drain yogurt in the fridge in a cheesecloth-lined strainer for 2 hours or until thickened."", ""Toss figs in mild and light olive oil; grill over medium heat until warmed through and softened.  Spoon yogurt onto plate, top with warm figs and drizzle with honey and extra virgin olive oil.  Sprinkle with hazelnuts."")"
4,243217,Busy Day Lemon Glazed Pound Cake,PT1H,PT10M,PT1H10M,"I came up with this when I wanted something refreshing, but easy for dessert. Very yummy and just the right amount of lemon flavor.",Dessert,"c(""Summer"", ""< 4 Hours"")","c(""18 1/4"", ""3 1/2"", ""4"", ""1/3"", ""1/4"", ""3/4"", ""1 1/2"", ""4"")","c(""vanilla instant pudding mix"", ""eggs"", ""lemon juice"", ""water"", ""confectioners' sugar"", ""lemon juice"")",427.5,15.3,2.5,85.6,511.4,68.8,0.6,49.7,4.8,,1 cake,"c(""Preheat oven to 350°.  Grease and flour a standard-sized bundt pan."", ""In a mixer bowl, combine cake mix, pudding mix, eggs, oil, water and lemon juice. Beat for 2 minutes on medium speed."", ""Put into prepared pan, and bake for 1 hour till golden."", ""Mix confectioners sugar and lemon juice in small bowl."", ""When cake has cooled for 10 minutes, poke holes over top with a wooden skewer (I use a small paintbrush handle, don't have wooden skewers on hand!) and pour half of glaze over holes. Cool another 5 minutes and invert onto a serving plate."", 
""Immediately pour remaining glaze over cake."", ""Cool and serve."")"
5,404863,Er’s Best Fish Tacos in the World!!,PT5M,PT20M,PT25M,"Minimal and quick - less ingredients with tons of flavor!!

Very fast and easy to make this receipt serves 2-3 people. But can scale to feed more
This preps in three parts and can be ready to serve in as little as 20 min.",Lunch/Snacks,"c(""Mahi Mahi"", ""Hawaiian"", ""Mexican"", ""Potluck"", ""Weeknight"", ""< 30 Mins"", ""Beginner Cook"", ""Easy"", ""Inexpensive"")","c(""2"", ""1"", ""1"", ""1"", ""6 -8"", ""1/2"", ""4"", ""1/2"", ""1/3"", ""1"")","c(""mahi mahi fillets"", ""sea salt"", ""black pepper"", ""olive oil"", ""corn tortillas"", ""green cabbage"", ""lime juice"", ""mayonnaise"", ""red onion"", ""cilantro"")",649.5,25.7,3.9,164.2,749.5,63.3,10.2,13.8,46.0,,,"c(""Making the cabbage - Shred cabbage into a large mixing bowl and add 2 tablespoons limejuice, toss and let sit."", ""Making Shells - Using a Panini press, skillet or grill set on high heat, press and heat tortillas (two at a time or whatever will fit without overlapping) until tortillas are crisp yet still malleable. Remove from heat form into taco shell then set aside. Shells should be a balance of crispy and soft."", ""Making the Sauce - In a small mixing bowl combine mayonnaise, 2 tablespoons lime juice, cilantro and finely diced red onion. Mix until well-combined, let sit."", 
""Making the Fish - Lightly coat fish in olive oil and season with sea salt and fresh cracked pepper. In the same device used to heat the tortillas, set to high heat and cook fish for 4-5min flipping after 3min. remove from heat, shred and place in serving dish."", ""Assembling your best Fish Taco - Recipe works best as a communal dining experience! Place all of the taco separates in the dinning area and allow each person to build their own taco."", ""The foundation - Take a taco shell a place a generous portion of shredded cabbage in the shell filling it ¾ of the way full."", 
""Putting the fish in “Fish Taco” - Place a medium size portion of the shredded mahi mahi on top of the cabbage filling the remain free space in the shell."", ""The Top - Finally coat the top of the taco with the sauce… and Enjoy!"")"
6,18158,Apple-Cheese Lunch,PT5M,PT5M,PT10M,A diet-proof lunch i always bring to my bookclub meeting. Nutrious and delicious. You can also sub. vanilla yogurt for sour cream.,Lunch/Snacks,"c(""Apple"", ""Fruit"", ""< 15 Mins"", ""Easy"")","c(""1"", ""1/4"", ""2"", ""4"", ""1 1/4"", ""1"", ""1/2"", ""1"")","c(""sour cream"", ""liquid honey"", ""lemon juice"", ""red apples"", ""colby cheese"", ""celery"", ""walnut pieces"", ""lettuce"")",327.7,22.1,10.4,39.2,177.8,27.4,3.0,21.1,8.7,6.0,,"c(""In small bowl, combine sour cream, honey and lemon juice."", ""Chill dressing at least 1 hour to blend flavours."", ""Just before serving, combine apples, Colby cheese, celery and nuts in large bowl."", ""Pour in dressing and toss lightly to combine."", ""Spoon into lettuce-lined bowl and serve."")"
7,113733,Strawberry Fluff Dip,,PT2M,PT2M,This comes from a magazine sent out by the Children's Diabetes Foundation at Denver. 1/4 cup = 4 grams carbohydrates and 1 grams fat,Lunch/Snacks,"c(""Kid Friendly"", ""< 15 Mins"", ""Beginner Cook"", ""Easy"", ""Inexpensive"")","c(""1"", ""1"", NA)","""strawberry""",20.6,1.2,1.1,0.2,6.8,2.2,0.0,2.2,0.3,8.0,,"c(""Mix yogurt and whipped topping with fork or wire whisk."", ""Serve with fresh strawberries for dipping."")"
8,116886,Carrie's Grilled Cheese Sammich!,PT10M,PT15M,PT25M,"The dill rye, the carmelized onions, the ham...ooohhh and the cheese...heaven on a plate. I love this grilled cheese, different, but easy and oh so tasty!",Lunch/Snacks,"c(""Ham"", ""Pork"", ""Cheese"", ""Meat"", ""< 30 Mins"")","c(""8"", ""2"", ""1/2"", ""1/2"", ""1/2"")","c(""margarine"", ""butter"", ""onion"", ""deli ham"", ""American cheese"")",502.6,26.6,11.8,68.7,1777.5,39.3,4.6,3.0,26.2,4.0,,"c(""Butter each piece of bread on one side and stick the butter side together and set aside."", ""Heat a skillet on hi and spray with non-stick spray.  Add sliced onion and sautee until carmelized.  Remove from pan and set aside.  Wipe pan clean and set on medium heat."", ""Place 4 pieces of the bread butter side down in your pan (I use a BIG skillet so this works, do this in stages if you have a small skillet).  Add 1/4 of the onions, 1 slice of cheese, 2 slices of ham, then 1 slice of cheese and the last piece of bread, butter side out."", 
""Leave for about 3-4 minutes and peek, if golden brown turn over and cook until golden brown on that side."", ""Slice in half and serve with a dill pickle."")"
9,123621,Pork Omelets,PT25M,PT15M,PT40M,Make and share this Pork Omelets recipe from Food.com.,Lunch/Snacks,"c(""Pork"", ""Greens"", ""Vegetable"", ""Meat"", ""< 60 Mins"")","c(""1"", ""4"", ""1/2"", ""1"", ""1"", ""1"", ""3 -4"", ""1"", ""1"", ""1/2"")","c(""cabbage"", ""eggs"", ""pork"", ""cornstarch"", ""soy sauce"", ""green onion"", ""chicken broth"", ""salt"", ""sugar"")",237.6,14.2,3.3,173.5,779.0,10.0,3.6,6.2,18.6,6.0,,"c(""Beat eggs until frothy.  Add pork, cornstarch, soy sauce, and onion.  Stir with pork."", ""Heat skillet with some oil.  Pour in the egg mixture."", ""Cook 2 minutes.  Fold in half, press, and turn and cook 1 minute more.  Remove to platter."", ""Continue until all batter is used up."", ""Wipe skillet clean;  reheat and add 2 tablespoons oil;  stir-fry cabbage until almost done."", ""Add broth, salt, and sugar; stir well."", ""Arrange omelets on cabbage in pan and cook until cabbage is tender."")"
