,RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
0,38,Low-Fat Berry Blue Frozen Dessert,1533,Dancer,PT24H,PT45M,PT24H45M,1999-08-09T21:46:00Z,Make and share this Low-Fat Berry Blue Frozen Dessert recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/YUeirxMLQaeE1h3v3qnM_229%20berry%20blue%20frzn%20dess.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/AFPDDHATWzQ0b1CDpDAT_255%20berry%20blue%20frzn%20dess.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/UYgf9nwMT2SGGJCuzILO_228%20berry%20blue%20frzn%20dess.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/PeBMJN2TGSaYks2759BA_20140722_202142.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/picuaETeN.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/pictzvxW5.jpg"")",Frozen Desserts,"c(""Dessert"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""Free Of..."", ""Summer"", ""Weeknight"", ""Freezer"", ""Easy"")","c(""4"", ""1/4"", ""1"", ""1"")","c(""blueberries"", ""granulated sugar"", ""vanilla yogurt"", ""lemon juice"")",4.5,4.0,170.9,2.5,1.3,8.0,29.8,37.1,3.6,30.2,3.2,4.0,,"c(""Toss 2 cups berries with sugar."", ""Let stand for 45 minutes, stirring occasionally."", ""Transfer berry-sugar mixture to food processor."", ""Add yogurt and process until smooth."", ""Strain through fine sieve. Pour into baking pan (or transfer to ice cream maker and process according to manufacturers' directions). Freeze uncovered until edges are solid but centre is soft.  Transfer to processor and blend until smooth again."", ""Return to pan and freeze until edges are solid."", ""Transfer to processor and blend until smooth again."", 
""Fold in remaining 2 cups of blueberries."", ""Pour into plastic mold and freeze overnight. Let soften slightly to serve."")"
4,42,Cabbage Soup,1538,Duckie067,PT30M,PT20M,PT50M,1999-09-19T06:19:00Z,Make and share this Cabbage Soup recipe from Food.com.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/42/picVEMxk8.jpg""",Vegetable,"c(""Low Protein"", ""Vegan"", ""Low Cholesterol"", ""Healthy"", ""Winter"", ""< 60 Mins"", ""Easy"")","c(""46"", ""4"", ""1"", ""2"", ""1"")","c(""plain tomato juice"", ""cabbage"", ""onion"", ""carrots"", ""celery"")",4.5,11.0,103.6,0.4,0.1,0.0,959.3,25.1,4.8,17.7,4.3,4.0,,"c(""Mix everything together and bring to a boil."", ""Reduce heat and simmer for 30 minutes (longer if you prefer your veggies to be soft)."", ""Refrigerate until cool."", ""Serve chilled with sour cream."")"
10,48,Boston Cream Pie,1545,Nancy Van Ess,,PT2H15M,PT2H15M,1999-08-24T04:35:00Z,Make and share this Boston Cream Pie recipe from Food.com.,character(0),Pie,"c(""Dessert"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""1/2"", ""2 1/4"", ""3"", ""1"", ""1 1/2"", ""1/3"", ""1 1/2"", ""2"", ""1"", ""1/3"", ""1"", ""1 1/2"", ""1"", ""1/2"", ""1"", ""1/4"", ""1"", ""1 1/2"", ""2"", ""1"")","c(""margarine"", ""cake flour"", ""baking powder"", ""salt"", ""sugar"", ""vanilla"", ""eggs"", ""milk"", ""sugar"", ""cornstarch"", ""milk"", ""flour"", ""salt"", ""vanilla"", ""butter"", ""vanilla"")",2.0,2.0,688.2,36.4,12.9,105.9,722.3,84.0,1.6,46.2,8.8,8.0,1 pie,"c(""Beat egg whites until soft peaks form."", ""Gradually add 1/2 cup sugar, beating until very stiff peaks form."", ""Sift together remaining dry ingredients into another bowl."", ""Add oil, half the  milk and vanilla."", ""Beat 1 minute at medium speed."", ""Add remaining milk and egg yolks."", ""Beat 1 minute, scrape bowl."", ""Gently fold in egg whites."", ""Bake in two greased 9x 1.5-inch round pans in 350°F oven for 25 minutes."", ""Cool 10 minutes and then remove from pans."", ""Cool completely."", ""Fill with cream filling."", 
""Frost with Chocolate Glaze."", ""French Custard Filling: In saucepan, combine sugar, flour, cornstarch and salt.  Gradually stir in milk."", ""Cook and stir until mixture thickens and boils; cook and stir 2-3 minutes longer."", ""Stir a little of hot mixture into egg yolk; return to hot mixture."", ""Cook and stir until mixture just boils."", ""Add vanilla; cool."", ""Beat until smooth; fold in whipped cream."", ""Chocolate Glaze: Melt chocolate and butter over low heat, stirring constantly."", ""Remove from heat. Stir in confectioners' sugar and vanilla until crumbly."", 
""Blend in 3 tablespoons boiling water."", ""Add enough water (about 2 teaspoons), a teaspoon at a time, to form medium glaze of pouring consistency."", ""Pour quickly over top of cake; spread glaze evenly over top and sides."")"
11,49,Chicken Breasts Lombardi,174711,Queen Dragon Mom,PT30M,PT45M,PT1H15M,1999-08-14T19:58:00Z,Make and share this Chicken Breasts Lombardi recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/m1z1F8S5mAZgyImm5zYw_Lombardi%20Chicken%203.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/01481162521.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/Sa0Yu0UyRoyh1B03oLnD_20161102_174049.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/01477708512.jpeg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/tHou0UsyTiAsfQo29Fpi_Lombardi%20Chicken%202.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/X2b0bl8aTGivq4ErsD3g_Lombardi%20chicken%201.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/picvZU6rd.jpg"")",Chicken Breast,"c(""Chicken"", ""Poultry"", ""Meat"", ""European"", ""Very Low Carbs"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""2"", ""2"", ""12"", ""1/2"", ""1/3"", ""3/4"", ""1/2"", ""1/2"", ""1/2"", ""1/2"", ""1/4"")","c(""fresh mushrooms"", ""butter"", ""boneless skinless chicken breast halves"", ""flour"", ""butter"", ""marsala"", ""chicken broth"", ""salt"", ""mozzarella cheese"", ""parmesan cheese"", ""green onion"")",5.0,21.0,627.7,24.9,13.0,203.0,848.9,13.7,0.6,2.0,57.9,6.0,,"c(""Cook mushrooms in 2 tbsp butter in a large  skillet, stirring constantly, just   until tender."", ""Remove from heat; set aside.  Cut each chicken breast half in  half lengthwise.   Place each piece of chicken  between two sheets of wax paper; flatten to  1/8\"" thickness, using a meat  mallet or rolling pin."", ""Dredge chicken pieces in flour."", ""Place 5 or 6  pieces of chicken in 1 to 2  tbsp butter in a  large skillet; cook over medium  heat 3 to 4 minutes on each  side or until  golden."", ""Place chicken in a lightly  greased 13x9\"" baking dish,  overlapping  edges."", 
""Repeat procedure with  remaining chicken and butter."", ""Reserve pan  drippings in skillet.  Sprinkle  reserved mushrooms over chicken."", ""Add wine and  broth to skillet.  Bring to a boil;  reduce heat, and simmer,  uncovered, 10  minutes, stirring occasionally."", ""Stir in salt and pepper."", ""Pour  sauce over  chicken."", ""Combine cheeses and green  onions; sprinkle over chicken."", ""Bake  uncovered at 450 for 12 to 14 minutes."", ""Broil 5 1/2\"" away from heat 1 to  2  minutes or until browned."")"
16,54,Carrot Cake,1535,Marg CaymanDesigns,PT50M,PT45M,PT1H35M,1999-09-13T15:20:00Z,This is one of the few recipes my husband every requested from a coworker and brought home for me to make.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/54/picQ2X4D8.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/54/pic3oloIV.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/54/picf0dw0o.jpg"")",Dessert,"c(""Vegetable"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""3"", ""4"", ""1 1/4"", ""2"", ""2"", ""2"", ""2"", ""1"", ""1"", ""1/2"", ""1"", ""1 1/4"", ""1"", ""1"", ""1/2"")","c(""carrots"", ""eggs"", ""white sugar"", ""all-purpose flour"", ""baking powder"", ""baking soda"", ""cinnamon"", ""salt"", ""nutmeg"", ""golden raisin"", ""confectioners' sugar"", ""cream cheese"", ""light corn syrup"", ""vanilla extract"")",5.0,17.0,522.6,27.1,4.9,69.8,534.8,67.0,1.6,47.9,5.0,12.0,1 bundt,"c(""Beat together the eggs, oil, and white sugar. Blend mixture for thirty seconds."", ""Sift together flour, baking powder, baking soda, salt and spices. Add the  carrots and raisins."", ""Pour egg mixture into dry ingredients, and mix well. Pour  batter into well greased 10 inch tube or Bundt pan."", ""Bake at 350 degrees F (175  degrees C) oven for 45 to 50 minutes. Cool cake on wire rack, and then  refrigerate until completely cooled."", ""To make Cream Cheese Glaze: Blend together  confectioners' sugar, cream cheese, corn syrup, and vanilla. Spread over cooled  cake.""
)"
18,56,Buttermilk Pie,1581,thefensk,PT1H,PT20M,PT1H20M,1999-08-30T10:02:00Z,"This recipe was originally noted by my wife on a cooking show on TV.  It was touted as an Amish recipe.  All we had for a long time was the list of ingredients on the back of an old envelope.  We lost it for a good while and after I found it, I originally posted it so I would never lose it again.   Thank you all for all your interest ... this is my absolute favorite pie.  During the &quot;lost&quot; phase I must have gained 20 pounds trying numerous different buttermilk pie recipes ... I was so glad when I found it again as only a few even came close in taste and texture.  I've noted a lot of people mentioning reducing the sugar, which is fine, but bear in mind that the sugar quantity was a major difference between this and other recipes I tested when it was lost. Hey, it is a PIE, it is SUPPOSED to be sweet.  Enjoy","c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/nTwHmSmmRqGCr5HAUapC_pie-1194.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/KVgOoNMtRF6wvr5F2LN8_IMG_20180506_232451.jpg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/56/FNPRvh8RVDt87oJMvdaQ_166757453857297.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/a_270/v1/img/recipes/56/YrLhorGAT1ifQL8kR6Wi_image.jpg?rotate=270"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/picJXAlyG.jpg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/56/JOBnvLyxTLOaUX9iAHwY_10158835129563134.jpg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/56/ZdWr5wSqTXxLp9gQKZva_6177182B-027F-47EE-9C80-39990213CCFC.jpeg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/56/VZPyxCFZRGDdqWjVI3Ig_0553DC1D-4ACE-4409-9EDD-5E05816DABF8.jpeg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/56/PqvYaX51TkK0ftMAzQpW_SPhotoEditor-20180123_200317.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/J2tzJWCfRymRlQleEd6y_pie-1181.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/LOQPyV1SkSvINuu2lHnQ_pie-1178.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/FKfvNy09TZOJZXhks55M_image.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/WcvltJdQpaBj0VuIwkRM_20150221_185141.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/pfKfVg22RWae0KXp4Zxx_IMG_20150221_124006.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/picJEONrC.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/picrMc1hm.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/picI0FnqN.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/picm865Ry.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/picpY7xxC.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/picG0knyL.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/picMujOhS.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/6mu4U7FdQvSbUJcZsfnb_2285843731647190.jpg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/56/irAZOAxdSjOqcEnJuVTG_2285843731647190.jpg"", 
""https://img.sndimg.com/food/image/upload/v1/img/feed/56/pzhS4q7QKSMqZASDBtNB_IMG_20180506_232451.jpg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/56/Vg7ihmiYSTeiZMT2CpTQ_Buttermilk%20pie.JPG"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/56/M3067khQQjC4cYTLtBSM_20170312_211847.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/NNse5q3TRZum6MXQVNya_IMG_6814.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/pick370mI.jpg""
)",Pie,"c(""Dessert"", ""Oven"", ""< 4 Hours"", ""Easy"")","c(""1/2"", ""1 1/2"", ""3"", ""3"", ""1"", ""1"", ""1"", ""1"")","c(""butter"", ""margarine"", ""sugar"", ""flour"", ""eggs"", ""salt"", ""vanilla"", ""buttermilk"")",5.0,171.0,395.9,19.1,9.8,101.5,269.8,52.2,0.7,39.9,5.0,8.0,,"c(""Preheat oven to 400°F."", ""Beat the butter and sugar together until light."", ""Add the eggs and beat; then beat in vanilla."", ""Sift the dry ingredients together and add to the batter alternatively with the buttermilk; beat until smooth."", ""Pour into a deep dish pie shell and bake at 400F for 10 minutes, reduce heat to 350F and bake for 50-60 additional minutes."", ""Pie should turn a nice golden brown and a knife inserted should come out clean."", ""I think it is absolutely best when it is just still warm. (Not too hot, or it will be like napalm.).""
)"
19,57,Black Bean Salsa,1569,Linda7,,PT10M,PT10M,1999-08-31T21:02:00Z,Make and share this Black Bean Salsa recipe from Food.com.,character(0),Sauces,"c(""Black Beans"", ""Beans"", ""Mexican"", ""Low Cholesterol"", ""Healthy"", ""< 15 Mins"", ""No Cook"", ""Easy"")","c(""2"", ""2 -3"", ""2 -3"", ""2 -3"", ""2 -3"", ""2"", ""2"", NA, NA)","c(""black beans"", ""tomatoes"", ""roma tomatoes"", ""green onions"", ""garlic"", ""cilantro"", ""white pepper"")",3.0,1.0,114.3,3.8,0.5,0.0,3.7,15.6,5.5,1.4,5.4,8.0,,"c(""Combine all ingredients in a bowl."", ""Serve with tortilla chips."")"
26,64,Almond Pound Cake,125579,GrandmaIsCooking,PT1H,PT15M,PT1H15M,1999-08-07T16:33:00Z,Make and share this Almond Pound Cake recipe from Food.com.,character(0),Dessert,"c(""Fruit"", ""Nuts"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""2/3"", ""3 1/2"", ""1 1/4"", ""4"", ""2 1/4"", ""5"", ""1"", ""1/2"")","c(""butter"", ""almond paste"", ""sugar"", ""eggs"", ""flour"", ""cornstarch"", ""baking powder"", ""milk"")",4.5,3.0,408.5,17.9,9.0,118.9,159.4,56.0,1.3,29.0,6.9,10.0,1 cake,"c(""Preheat oven to 350 degrees Fahrenheit."", ""Cream butter and almond paste until fluffy."", ""Add sugar, gradually add eggs, one at a time.  Mix together flour, cornstarch and baking powder, then add flour mixture and milk alternately."", ""Bake in greased 9x5 loaf pan for 1 hour."", ""Double recipe for a bundt pan and bake 75 minute."", ""Cool 10 min in pan, then turn out and cool completely."", ""Serve with powdered sugar, orange glaze or chocolate glaze."")"
42,82,Brazilian Empadinhas,1600,Leon  Miriam Posvol,PT2H37M,PT1H,PT3H37M,1999-08-24T05:35:00Z,The empanadas in Brazil are different from those in other  Latin american countries and are called empadas or empadinhas. They look more like mini pies,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/82/82.jpg""",Brazilian,"c(""South American"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(NA, ""2 1/2"", ""1/2"", ""1/4"", ""1"", ""1"", ""3"", ""1"", ""1/2"", ""1/2"", ""3"", ""1"", ""1"", NA, NA, NA, ""1/2"", ""2"", ""2"", ""1"", ""2"")","c(""butter"", ""flour"", ""salt"", ""margarine"", ""milk"", ""water"", ""shrimp"", ""onion"", ""tomatoes"", ""parsley"", ""lemon"", ""salt"", ""pepper"", ""Tabasco sauce"", ""garlic"", ""cornstarch"", ""olive oil"", ""cumin"", ""bell peppers"")",3.5,3.0,329.7,16.7,3.4,77.5,446.8,35.6,2.0,1.9,9.3,8.0,,"c(""DOUGH Cut butter into salt and flour."", ""Stir in rest of the ingredients and knead to  combine or just process everything until it forms a ball."", ""Let rest covered 1  hour Make balls the size of a walnut, from 2/3  of the dough and line small  muffin tins with the dough."", ""Place 2 tsp. of the cold filling into the lined  tins."", ""Make small balls with the rest of the dough."", ""Flatten them to make lids for the mini pies."", ""Brush tops with egg yolk Bake in preheated 350 F oven for 30 to  35 minutes or until golden brown."", 
""SHRIMP FILLING Clean and devein shrimp, saving heads and shells."", ""Make a broth with the shells  and heads and 2 cups water."", ""Cook 1 hour, uncovered over low heat. Strain broth  and cook it down to 1/2 cup."", ""Cook onions and garlic in olive oil until they  start changing color."", ""Add bell pepper and cook 2 minutes, Add tomatoes, broth  and seasonings and simmer almost to a paste. Add shrimp and cook just until they become opaque. Stir in cornstarch diluted in 2 Tbsp water."", ""Stir until thick."", 
""Add parsley."", ""Let cool before using"", ""NOTES : May use other fillings such as chicken, hearts of palms, cheese Miriam Podcameni Posvolsky Rio de Janeiro"")"
48,88,Breakfast Burritos,1575,lindaWWJD,,PT35M,PT35M,1999-08-13T13:36:00Z,Make and share this Breakfast Burritos recipe from Food.com.,character(0),Breakfast,"c(""Mexican"", ""< 60 Mins"", ""Easy"")","c(""8"", ""1"", ""2"", ""10"")","c(""eggs"", ""country sausage"", ""flour tortillas"")",3.5,3.0,1974.0,112.2,41.1,656.1,4146.0,150.2,8.8,9.3,84.7,4.0,,"c(""Scramble eggs with a small amount of milk."", ""In another pan, crumble sausage and brown."", ""Combine with cheese; cook over low flame until cheese melts."", ""Mix in just enough ketchup until mixture holds together."", ""Warm tortillas in microwave on medium for about 30 seconds until soft enough to roll up without cracking."", ""Place about 1/4 cup egg mixture in tortilla and roll up."", ""Serve with salsa."")"
